"Time","Wager","Win","Balance"
"2019-05-30 23:34:14.883887",0.0,0.0,1000.0
"2019-05-30 23:34:15.047565",50.0,0.0,950.0
"2019-05-30 23:34:17.722982",50.0,30.0,930.0
"2019-05-30 23:34:20.380488",50.0,0.0,880.0
"2019-05-30 23:34:23.031593",50.0,0.0,830.0
"2019-05-30 23:34:25.674685",50.0,15.0,795.0
"2019-05-30 23:34:28.314221",50.0,0.0,745.0
"2019-05-30 23:34:30.961412",50.0,0.0,695.0
"2019-05-30 23:34:33.617166",50.0,0.0,645.0
"2019-05-30 23:34:36.264711",50.0,0.0,595.0
"2019-05-30 23:34:38.910978",50.0,0.0,545.0
"2019-05-30 23:34:41.556474",50.0,0.0,495.0
"2019-05-30 23:34:44.197668",50.0,0.0,445.0
"2019-05-30 23:34:46.845477",50.0,10.0,405.0
"2019-05-30 23:34:49.497611",50.0,0.0,355.0
"2019-05-30 23:34:52.139770",50.0,0.0,305.0
"2019-05-30 23:34:54.787123",50.0,5.0,260.0
"2019-05-30 23:34:57.431442",50.0,30.0,240.0
"2019-05-30 23:35:00.084076",50.0,0.0,190.0
"2019-05-30 23:35:02.733235",50.0,430.0,570.0
"2019-05-30 23:35:05.381906",50.0,125.0,645.0
"2019-05-30 23:35:08.030076",50.0,0.0,595.0
"2019-05-30 23:35:10.669851",50.0,0.0,545.0
"2019-05-30 23:35:13.316000",50.0,280.0,775.0
"2019-05-30 23:35:51.147805",50.0,0.0,725.0
"2019-05-30 23:35:53.788683",50.0,50.0,725.0
"2019-05-30 23:35:56.442963",50.0,0.0,675.0
"2019-05-30 23:35:59.090948",50.0,20.0,645.0
"2019-05-30 23:36:01.740196",50.0,150.0,745.0
"2019-05-30 23:36:04.390111",50.0,30.0,725.0
"2019-05-30 23:36:07.044142",50.0,0.0,675.0
"2019-05-30 23:36:09.685435",50.0,0.0,625.0
"2019-05-30 23:36:12.325730",50.0,0.0,575.0
"2019-05-30 23:36:14.975162",50.0,0.0,525.0
"2019-05-30 23:36:17.618731",50.0,0.0,475.0
"2019-05-30 23:36:20.259040",50.0,30.0,455.0
"2019-05-30 23:36:22.906102",50.0,0.0,405.0
"2019-05-30 23:36:25.546887",50.0,0.0,355.0
"2019-05-30 23:36:28.193511",50.0,0.0,305.0
"2019-05-30 23:36:30.836714",50.0,0.0,255.0
"2019-05-30 23:36:33.476456",50.0,0.0,205.0
"2019-05-30 23:36:36.115911",50.0,0.0,155.0
"2019-05-30 23:36:38.758938",50.0,0.0,105.0
"2019-05-30 23:36:41.397752",50.0,255.0,310.0
"2019-05-30 23:36:44.045560",50.0,75.0,335.0
"2019-05-30 23:36:46.689804",50.0,0.0,285.0
"2019-05-30 23:36:49.328082",50.0,0.0,235.0
"2019-05-30 23:36:51.976728",50.0,330.0,515.0
"2019-05-30 23:36:54.625566",50.0,30.0,495.0
"2019-05-30 23:36:57.278555",50.0,0.0,445.0
"2019-05-30 23:36:59.926569",50.0,0.0,395.0
"2019-05-30 23:37:02.561803",50.0,0.0,345.0
"2019-05-30 23:37:05.211493",50.0,0.0,295.0
"2019-05-30 23:37:07.865038",50.0,10.0,255.0
"2019-05-30 23:37:10.513153",50.0,0.0,205.0
"2019-05-30 23:37:13.147173",50.0,0.0,155.0
"2019-05-30 23:37:15.799191",50.0,120.0,225.0
"2019-05-30 23:37:18.446416",50.0,0.0,175.0
"2019-05-30 23:37:21.094554",50.0,0.0,125.0
"2019-05-30 23:37:23.746231",50.0,20.0,95.0
